period,exportImportType,coalRankId,coalRankDescription,price,price-units
2008-Q1,Exports,MET,Metallurgical,98.9,dollars per short ton
2010-Q3,Imports,MET,Metallurgical,204.71,dollars per short ton
2004-Q2,Exports,MET,Metallurgical,65.32,dollars per short ton
2004-Q1,Exports,MET,Metallurgical,54.1,dollars per short ton
2004-Q1,Imports,MET,Metallurgical,48.42,dollars per short ton
2006-Q4,Imports,MET,Metallurgical,113.25,dollars per short ton
2001-Q3,Imports,MET,Metallurgical,44.92,dollars per short ton
2010-Q4,Exports,MET,Metallurgical,160.63,dollars per short ton
2004-Q2,Imports,MET,Metallurgical,50.74,dollars per short ton
2010-Q4,Imports,MET,Metallurgical,194.73,dollars per short ton
2005-Q3,Imports,MET,Metallurgical,101.15,dollars per short ton
2005-Q4,Exports,MET,Metallurgical,85.98,dollars per short ton
2005-Q4,Imports,MET,Metallurgical,106.33,dollars per short ton
2002-Q2,Exports,MET,Metallurgical,44.24,dollars per short ton
2001-Q4,Exports,MET,Metallurgical,44.74,dollars per short ton
2001-Q4,Imports,MET,Metallurgical,46.48,dollars per short ton
2005-Q1,Imports,MET,Metallurgical,95.61,dollars per short ton
2010-Q2,Imports,MET,Metallurgical,180.79,dollars per short ton
2010-Q3,Exports,MET,Metallurgical,162.54,dollars per short ton
2010-Q2,Exports,MET,Metallurgical,143.73,dollars per short ton
2005-Q3,Exports,MET,Metallurgical,85.92,dollars per short ton
2008-Q2,Imports,MET,Metallurgical,109.19,dollars per short ton
2006-Q3,Imports,MET,Metallurgical,103.61,dollars per short ton
2010-Q1,Exports,MET,Metallurgical,117.36,dollars per short ton
2010-Q1,Imports,MET,Metallurgical,106.49,dollars per short ton
2005-Q1,Exports,MET,Metallurgical,73.65,dollars per short ton
2005-Q2,Imports,MET,Metallurgical,102.11,dollars per short ton
2008-Q2,Exports,MET,Metallurgical,129.91,dollars per short ton
2008-Q1,Imports,MET,Metallurgical,98.64,dollars per short ton
2009-Q4,Exports,MET,Metallurgical,112.91,dollars per short ton
2009-Q4,Imports,MET,Metallurgical,120.72,dollars per short ton
2009-Q3,Imports,MET,Metallurgical,122.57,dollars per short ton
2012-Q1,Imports,MET,Metallurgical,206.07,dollars per short ton
2001-Q1,Imports,MET,Metallurgical,45.47,dollars per short ton
2007-Q3,Imports,MET,Metallurgical,93.19,dollars per short ton
2001-Q2,Exports,MET,Metallurgical,40.12,dollars per short ton
2007-Q2,Imports,MET,Metallurgical,95.79,dollars per short ton
2007-Q1,Exports,MET,Metallurgical,91.81,dollars per short ton
2007-Q2,Exports,MET,Metallurgical,86.49,dollars per short ton
2007-Q3,Exports,MET,Metallurgical,87.99,dollars per short ton
2001-Q1,Exports,MET,Metallurgical,39.25,dollars per short ton
2007-Q1,Imports,MET,Metallurgical,110.8,dollars per short ton
2009-Q3,Exports,MET,Metallurgical,111.64,dollars per short ton
2012-Q3,Imports,MET,Metallurgical,194.71,dollars per short ton
2003-Q1,Imports,MET,Metallurgical,49.54,dollars per short ton
2012-Q3,Exports,MET,Metallurgical,148.01,dollars per short ton
2006-Q3,Exports,MET,Metallurgical,90.65,dollars per short ton
2012-Q4,Exports,MET,Metallurgical,131.09,dollars per short ton
2012-Q2,Imports,MET,Metallurgical,186.91,dollars per short ton
2014-Q4,Imports,MET,Metallurgical,121.96,dollars per short ton
2012-Q4,Imports,MET,Metallurgical,155.27,dollars per short ton
2004-Q4,Imports,MET,Metallurgical,60.48,dollars per short ton
