period,location,sector,sectorDescription,price,consumption,stocks,price-units,consumption-units,stocks-units
2001-Q2,IL,10,Other Industrial,29.7,870136,202778,dollars per short ton,short tons,short tons
2001-Q2,IN,10,Other Industrial,36.03,1389780,316722,dollars per short ton,short tons,short tons
2001-Q2,KS,10,Other Industrial,33.1,40187,15465,dollars per short ton,short tons,short tons
2001-Q2,KY,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,LA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,MA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,MD,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,ME,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,MI,10,Other Industrial,39.29,509256,474023,dollars per short ton,short tons,short tons
2001-Q2,MN,10,Other Industrial,31.67,308925,194145,dollars per short ton,short tons,short tons
2001-Q2,MO,10,Other Industrial,32.11,245101,78311,dollars per short ton,short tons,short tons
2001-Q2,MS,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,MT,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,NC,10,Other Industrial,44.24,419547,109047,dollars per short ton,short tons,short tons
2001-Q2,ND,10,Other Industrial,9.57,1457073,88284,dollars per short ton,short tons,short tons
2001-Q2,NE,10,Other Industrial,24.06,117541,39540,dollars per short ton,short tons,short tons
2001-Q2,NJ,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,NM,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,NV,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,NY,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,OH,10,Other Industrial,36.92,565908,80274,dollars per short ton,short tons,short tons
2001-Q2,OK,10,Other Industrial,28.68,178271,98505,dollars per short ton,short tons,short tons
2001-Q2,PA,10,Other Industrial,36.91,830346,197795,dollars per short ton,short tons,short tons
2001-Q2,SC,10,Other Industrial,48.24,514350,174861,dollars per short ton,short tons,short tons
2001-Q2,SD,10,Other Industrial,18.24,72913,66747,dollars per short ton,short tons,short tons
2001-Q2,TN,10,Other Industrial,37.13,774888,316577,dollars per short ton,short tons,short tons
2001-Q2,TX,10,Other Industrial,24.54,1075441,221693,dollars per short ton,short tons,short tons
2001-Q2,UT,10,Other Industrial,27.77,339185,3860,dollars per short ton,short tons,short tons
2001-Q2,VA,10,Other Industrial,43.92,589992,118559,dollars per short ton,short tons,short tons
2001-Q2,WA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,WI,10,Other Industrial,41.88,385985,190953,dollars per short ton,short tons,short tons
2001-Q2,WV,10,Other Industrial,34.98,364859,76311,dollars per short ton,short tons,short tons
2001-Q2,WY,10,Other Industrial,25.47,396421,84298,dollars per short ton,short tons,short tons
2001-Q2,CA,2,IPP Non-CHP,,,,dollars per short ton,short tons,short tons
2001-Q2,CT,2,IPP Non-CHP,,241360,115221,dollars per short ton,short tons,short tons
2001-Q2,DE,2,IPP Non-CHP,,93670,51481,dollars per short ton,short tons,short tons
2001-Q2,HI,2,IPP Non-CHP,,,,dollars per short ton,short tons,short tons
2001-Q2,IL,2,IPP Non-CHP,,6871890,4166056,dollars per short ton,short tons,short tons
2001-Q2,IN,2,IPP Non-CHP,,324080,221100,dollars per short ton,short tons,short tons
2001-Q2,KY,2,IPP Non-CHP,,1252300,557536,dollars per short ton,short tons,short tons
2001-Q2,LA,2,IPP Non-CHP,,1931600,985923,dollars per short ton,short tons,short tons
2001-Q2,MA,2,IPP Non-CHP,,856790,711110,dollars per short ton,short tons,short tons
2001-Q2,MD,2,IPP Non-CHP,,2450550,1403711,dollars per short ton,short tons,short tons
2001-Q2,MT,2,IPP Non-CHP,,1966370,400212,dollars per short ton,short tons,short tons
2001-Q2,NC,2,IPP Non-CHP,,,,dollars per short ton,short tons,short tons
2001-Q2,NJ,2,IPP Non-CHP,,518960,357228,dollars per short ton,short tons,short tons
2001-Q2,NY,2,IPP Non-CHP,,1833170,835835,dollars per short ton,short tons,short tons
2001-Q2,OH,2,IPP Non-CHP,,436480,220492,dollars per short ton,short tons,short tons
2001-Q2,PA,2,IPP Non-CHP,,9135960,5462957,dollars per short ton,short tons,short tons
2001-Q2,TX,2,IPP Non-CHP,,0,0,dollars per short ton,short tons,short tons
2001-Q2,UT,2,IPP Non-CHP,,105050,,dollars per short ton,short tons,short tons
2001-Q2,VA,2,IPP Non-CHP,,225920,175415,dollars per short ton,short tons,short tons
2001-Q2,WA,2,IPP Non-CHP,,1045910,1342638,dollars per short ton,short tons,short tons
2001-Q2,WI,2,IPP Non-CHP,,2890,14902,dollars per short ton,short tons,short tons
2001-Q2,WV,2,IPP Non-CHP,,2640980,1165374,dollars per short ton,short tons,short tons
2001-Q2,AK,3,IPP CHP,,64430,0,dollars per short ton,short tons,short tons
2001-Q2,AL,3,IPP CHP,,45320,0,dollars per short ton,short tons,short tons
2001-Q2,CA,3,IPP CHP,,248350,41353,dollars per short ton,short tons,short tons
2001-Q2,CO,3,IPP CHP,,77750,0,dollars per short ton,short tons,short tons
2001-Q2,CT,3,IPP CHP,,160410,44485,dollars per short ton,short tons,short tons
2001-Q2,FL,3,IPP CHP,,582840,157516,dollars per short ton,short tons,short tons
2001-Q2,HI,3,IPP CHP,,172730,146456,dollars per short ton,short tons,short tons
2001-Q2,IA,3,IPP CHP,,31570,0,dollars per short ton,short tons,short tons
2001-Q2,IL,3,IPP CHP,,46460,20570,dollars per short ton,short tons,short tons
2001-Q2,IN,3,IPP CHP,,24050,0,dollars per short ton,short tons,short tons
2001-Q2,MA,3,IPP CHP,,,,dollars per short ton,short tons,short tons
2001-Q2,MD,3,IPP CHP,,169170,79000,dollars per short ton,short tons,short tons
2001-Q2,ME,3,IPP CHP,,43330,44000,dollars per short ton,short tons,short tons
2001-Q2,MI,3,IPP CHP,,53740,42240,dollars per short ton,short tons,short tons
2001-Q2,MN,3,IPP CHP,,0,,dollars per short ton,short tons,short tons
2001-Q2,NC,3,IPP CHP,,369190,110486,dollars per short ton,short tons,short tons
2001-Q2,NJ,3,IPP CHP,,296700,149926,dollars per short ton,short tons,short tons
2001-Q2,NY,3,IPP CHP,,164360,45801,dollars per short ton,short tons,short tons
2001-Q2,OH,3,IPP CHP,,24120,0,dollars per short ton,short tons,short tons
2001-Q2,OK,3,IPP CHP,,213140,408839,dollars per short ton,short tons,short tons
2001-Q2,PA,3,IPP CHP,,1058810,12710,dollars per short ton,short tons,short tons
2001-Q2,VA,3,IPP CHP,,491140,202290,dollars per short ton,short tons,short tons
2001-Q2,WV,3,IPP CHP,,31370,3629,dollars per short ton,short tons,short tons
2001-Q2,AK,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,AL,8,Commercial and Institutional,,4067,,dollars per short ton,short tons,short tons
2001-Q2,AZ,8,Commercial and Institutional,,159,,dollars per short ton,short tons,short tons
2001-Q2,CA,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,CO,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,CT,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,DE,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,FL,8,Commercial and Institutional,,14877,,dollars per short ton,short tons,short tons
2001-Q2,GA,8,Commercial and Institutional,,2795,,dollars per short ton,short tons,short tons
2001-Q2,IA,8,Commercial and Institutional,,69726,,dollars per short ton,short tons,short tons
2001-Q2,ID,8,Commercial and Institutional,,4728,,dollars per short ton,short tons,short tons
2001-Q2,IL,8,Commercial and Institutional,,57007,,dollars per short ton,short tons,short tons
2001-Q2,IN,8,Commercial and Institutional,,62650,,dollars per short ton,short tons,short tons
2001-Q2,KS,8,Commercial and Institutional,,90,,dollars per short ton,short tons,short tons
2001-Q2,KY,8,Commercial and Institutional,,54381,,dollars per short ton,short tons,short tons
2001-Q2,MA,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,MD,8,Commercial and Institutional,,18887,,dollars per short ton,short tons,short tons
2001-Q2,ME,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,MI,8,Commercial and Institutional,,2181,,dollars per short ton,short tons,short tons
2001-Q2,MN,8,Commercial and Institutional,,407,,dollars per short ton,short tons,short tons
2001-Q2,MO,8,Commercial and Institutional,,53038,,dollars per short ton,short tons,short tons
2001-Q2,MT,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,NC,8,Commercial and Institutional,,31913,,dollars per short ton,short tons,short tons
2001-Q2,ND,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,NE,8,Commercial and Institutional,,1387,,dollars per short ton,short tons,short tons
2001-Q2,NH,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,NJ,8,Commercial and Institutional,,1099,,dollars per short ton,short tons,short tons
2001-Q2,NM,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,NV,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2001-Q2,NY,8,Commercial and Institutional,,28524,,dollars per short ton,short tons,short tons
2001-Q2,OH,8,Commercial and Institutional,,57454,,dollars per short ton,short tons,short tons
2001-Q2,OK,8,Commercial and Institutional,,164,,dollars per short ton,short tons,short tons
2001-Q2,OR,8,Commercial and Institutional,,54,,dollars per short ton,short tons,short tons
2001-Q2,PA,8,Commercial and Institutional,,196154,,dollars per short ton,short tons,short tons
