period,location,sector,sectorDescription,price,consumption,stocks,price-units,consumption-units,stocks-units
2001-Q1,PA,94,Independent Power Producers,,11236730,4032311,dollars per short ton,short tons,short tons
2001-Q1,TX,94,Independent Power Producers,,0,0,dollars per short ton,short tons,short tons
2001-Q1,UT,94,Independent Power Producers,,124050,,dollars per short ton,short tons,short tons
2001-Q1,VA,94,Independent Power Producers,,900130,261410,dollars per short ton,short tons,short tons
2001-Q1,WA,94,Independent Power Producers,,1591350,620086,dollars per short ton,short tons,short tons
2001-Q1,WI,94,Independent Power Producers,,8330,3467,dollars per short ton,short tons,short tons
2001-Q1,WV,94,Independent Power Producers,,3011500,969828,dollars per short ton,short tons,short tons
2001-Q1,AK,98,Electric Power,,137263,0,dollars per short ton,short tons,short tons
2001-Q1,AL,98,Electric Power,,8337158,2908451,dollars per short ton,short tons,short tons
2001-Q1,AR,98,Electric Power,,3165885,2020072,dollars per short ton,short tons,short tons
2001-Q1,AZ,98,Electric Power,,4667401,1876102,dollars per short ton,short tons,short tons
2001-Q1,CA,98,Electric Power,,186440,54428,dollars per short ton,short tons,short tons
2001-Q1,CO,98,Electric Power,,4914880,2766003,dollars per short ton,short tons,short tons
2001-Q1,CT,98,Electric Power,,447240,114732,dollars per short ton,short tons,short tons
2001-Q1,DE,98,Electric Power,,584696,248500,dollars per short ton,short tons,short tons
2001-Q1,FL,98,Electric Power,,7088945,3545542,dollars per short ton,short tons,short tons
2001-Q1,GA,98,Electric Power,,7586921,4793081,dollars per short ton,short tons,short tons
2001-Q1,HI,98,Electric Power,,183490,130700,dollars per short ton,short tons,short tons
2001-Q1,IA,98,Electric Power,,5498332,2748799,dollars per short ton,short tons,short tons
2001-Q1,IL,98,Electric Power,,11345998,5650152,dollars per short ton,short tons,short tons
2001-Q1,IN,98,Electric Power,,14329461,6075706,dollars per short ton,short tons,short tons
2001-Q1,KS,98,Electric Power,,5054660,2860563,dollars per short ton,short tons,short tons
2001-Q1,KY,98,Electric Power,,10472572,3890543,dollars per short ton,short tons,short tons
2001-Q1,LA,98,Electric Power,,3273797,2100706,dollars per short ton,short tons,short tons
2001-Q1,MA,98,Electric Power,,1230319,368839,dollars per short ton,short tons,short tons
2001-Q1,MD,98,Electric Power,,2733630,1200630,dollars per short ton,short tons,short tons
2001-Q1,ME,98,Electric Power,,49280,45000,dollars per short ton,short tons,short tons
2001-Q1,MI,98,Electric Power,,8452329,7699781,dollars per short ton,short tons,short tons
2001-Q1,MN,98,Electric Power,,4638597,1604277,dollars per short ton,short tons,short tons
2001-Q1,MO,98,Electric Power,,9530151,4329681,dollars per short ton,short tons,short tons
2001-Q1,MS,98,Electric Power,,1964261,1054801,dollars per short ton,short tons,short tons
2001-Q1,MT,98,Electric Power,,2803616,371286,dollars per short ton,short tons,short tons
2001-Q1,NC,98,Electric Power,,7115234,3094198,dollars per short ton,short tons,short tons
2001-Q1,ND,98,Electric Power,,6475188,1430125,dollars per short ton,short tons,short tons
2001-Q1,NE,98,Electric Power,,3256001,2075761,dollars per short ton,short tons,short tons
2001-Q1,NH,98,Electric Power,,418890,144116,dollars per short ton,short tons,short tons
2001-Q1,NJ,98,Electric Power,,1189780,481040,dollars per short ton,short tons,short tons
2001-Q1,NM,98,Electric Power,,3997279,825364,dollars per short ton,short tons,short tons
2001-Q1,NV,98,Electric Power,,1977876,1280695,dollars per short ton,short tons,short tons
2001-Q1,NY,98,Electric Power,,2704385,736615,dollars per short ton,short tons,short tons
2001-Q1,OH,98,Electric Power,,13983112,4112550,dollars per short ton,short tons,short tons
2001-Q1,OK,98,Electric Power,,5026110,4708129,dollars per short ton,short tons,short tons
2001-Q1,OR,98,Electric Power,,663181,250102,dollars per short ton,short tons,short tons
2001-Q1,PA,98,Electric Power,,12695699,4734903,dollars per short ton,short tons,short tons
2001-Q1,SC,98,Electric Power,,3776922,1428325,dollars per short ton,short tons,short tons
2001-Q1,SD,98,Electric Power,,590367,192820,dollars per short ton,short tons,short tons
2001-Q1,TN,98,Electric Power,,6110162,1463851,dollars per short ton,short tons,short tons
2001-Q1,TX,98,Electric Power,,22164839,10325198,dollars per short ton,short tons,short tons
2001-Q1,UT,98,Electric Power,,3457316,3707432,dollars per short ton,short tons,short tons
2001-Q1,VA,98,Electric Power,,4001465,1334433,dollars per short ton,short tons,short tons
2001-Q1,WA,98,Electric Power,,1591350,620086,dollars per short ton,short tons,short tons
2001-Q1,WI,98,Electric Power,,5844331,3463204,dollars per short ton,short tons,short tons
2001-Q1,WV,98,Electric Power,,9112138,2954848,dollars per short ton,short tons,short tons
2001-Q1,WY,98,Electric Power,,6886300,1331358,dollars per short ton,short tons,short tons
2001-Q2,AK,1,Electric Utility,,43487,0,dollars per short ton,short tons,short tons
2001-Q2,AL,1,Electric Utility,30.31,7895806,3362243,dollars per short ton,short tons,short tons
2001-Q2,AR,1,Electric Utility,20.71,3598755,1840591,dollars per short ton,short tons,short tons
2001-Q2,AZ,1,Electric Utility,25.75,5285073,2218181,dollars per short ton,short tons,short tons
2001-Q2,CO,1,Electric Utility,17.92,4844558,2596357,dollars per short ton,short tons,short tons
2001-Q2,DE,1,Electric Utility,,290638,285524,dollars per short ton,short tons,short tons
2001-Q2,FL,1,Electric Utility,40.91,6556389,3941673,dollars per short ton,short tons,short tons
2001-Q2,GA,1,Electric Utility,39.1,7851551,5743427,dollars per short ton,short tons,short tons
2001-Q2,IA,1,Electric Utility,13.94,4930163,2903323,dollars per short ton,short tons,short tons
2001-Q2,IL,1,Electric Utility,23.04,3796001,2832830,dollars per short ton,short tons,short tons
2001-Q2,IN,1,Electric Utility,23.84,12932206,7820147,dollars per short ton,short tons,short tons
2001-Q2,KS,1,Electric Utility,17.52,4814785,3432214,dollars per short ton,short tons,short tons
2001-Q2,KY,1,Electric Utility,24.97,8730594,3655068,dollars per short ton,short tons,short tons
2001-Q2,LA,1,Electric Utility,20.72,1638908,1484399,dollars per short ton,short tons,short tons
2001-Q2,MA,1,Electric Utility,,111985,71782,dollars per short ton,short tons,short tons
2001-Q2,MI,1,Electric Utility,26.35,8022330,8017552,dollars per short ton,short tons,short tons
2001-Q2,MN,1,Electric Utility,18.41,3923935,1735184,dollars per short ton,short tons,short tons
2001-Q2,MO,1,Electric Utility,17.26,8680784,5512451,dollars per short ton,short tons,short tons
2001-Q2,MS,1,Electric Utility,39.9,2026218,1520275,dollars per short ton,short tons,short tons
